X--Trace 1::[V(PR1)/I(PR1)],Y--Trace 1::[V(PR1)/I(PR1)]
1995.26,44.4414
2041.74,45.1901
2089.3,45.9513
2137.96,46.7252
2187.76,47.512
2238.72,48.3119
2290.87,49.1252
2344.23,49.952
2398.83,50.7925
2454.71,51.6471
2511.89,52.5158
2570.4,53.3989
2630.27,54.2967
2691.53,55.2094
2754.23,56.1372
2818.38,57.0804
2884.03,58.0392
2951.21,59.0138
3019.95,60.0045
3090.3,61.0116
3162.28,62.0353
3235.94,63.0759
3311.31,64.1336
3388.44,65.2088
3467.37,66.3017
3548.13,67.4125
3630.78,68.5416
3715.35,69.6892
3801.89,70.8557
3890.45,72.0414
3981.07,73.2464
4073.8,74.4713
4168.69,75.7162
4265.8,76.9814
4365.16,78.2674
4466.84,79.5744
4570.88,80.9028
4677.35,82.2528
4786.3,83.6249
4897.79,85.0194
5011.87,86.4366
5128.61,87.8769
5248.07,89.3407
5370.32,90.8283
5495.41,92.3401
5623.41,93.8765
5754.4,95.4378
5888.44,97.0245
6025.6,98.6369
6165.95,100.276
6309.57,101.941
6456.54,103.633
6606.93,105.353
6760.83,107.1
6918.31,108.876
7079.46,110.68
7244.36,112.514
7413.1,114.377
7585.78,116.27
7762.47,118.194
7943.28,120.149
8128.31,122.135
8317.64,124.154
8511.38,126.205
8709.64,128.289
8912.51,130.406
9120.11,132.558
9332.54,134.744
9549.93,136.965
9772.37,139.222
10000,141.515
10232.9,143.845
10471.3,146.213
10715.2,148.618
10964.8,151.062
11220.2,153.545
11481.5,156.068
11749,158.631
12022.6,161.235
12302.7,163.881
12589.3,166.569
12882.5,169.3
13182.6,172.074
13489.6,174.893
13803.8,177.757
14125.4,180.666
14454.4,183.622
14791.1,186.625
15135.6,189.676
15488.2,192.775
15848.9,195.924
16218.1,199.123
16595.9,202.373
16982.4,205.674
17378,209.028
17782.8,212.435
18197,215.896
18620.9,219.412
19054.6,222.984
19498.4,226.612
19952.6,230.298
