X--Trace 1::[-I(I1:3) | I(PR3)],Y--Trace 1::[-I(I1:3) | I(PR3)]
870.964,6.55466e-05
891.251,6.31322e-05
912.011,6.08029e-05
933.254,5.85558e-05
954.993,5.63879e-05
977.237,5.42966e-05
1000,5.22793e-05
1023.29,5.03335e-05
1047.13,4.84568e-05
1071.52,4.66468e-05
1096.48,4.49013e-05
1122.02,4.32183e-05
1148.15,4.15955e-05
1174.9,4.00311e-05
1202.26,3.85231e-05
1230.27,3.70696e-05
1258.93,3.56688e-05
1288.25,3.4319e-05
1318.26,3.30184e-05
1348.96,3.17653e-05
1380.38,3.05582e-05
1412.54,2.93955e-05
1445.44,2.82757e-05
1479.11,2.71974e-05
1513.56,2.6159e-05
1548.82,2.51592e-05
1584.89,2.41967e-05
1621.81,2.32701e-05
1659.59,2.23782e-05
1698.24,2.15198e-05
1737.8,2.06937e-05
1778.28,1.98986e-05
1819.7,1.91336e-05
1862.09,1.83976e-05
1905.46,1.76894e-05
1949.84,1.7008e-05
1995.26,1.63526e-05
2041.74,1.57221e-05
2089.3,1.51156e-05
2137.96,1.45322e-05
2187.76,1.39711e-05
2238.72,1.34315e-05
2290.87,1.29126e-05
2344.23,1.24135e-05
2398.83,1.19336e-05
2454.71,1.14721e-05
2511.89,1.10283e-05
2570.4,1.06016e-05
2630.27,1.01913e-05
2691.53,9.79686e-06
2754.23,9.41759e-06
2818.38,9.05294e-06
2884.03,8.70235e-06
2951.21,8.36531e-06
3019.95,8.04128e-06
3090.3,7.72977e-06
3162.28,7.4303e-06
3235.94,7.14241e-06
3311.31,6.86566e-06
3388.44,6.59963e-06
3467.37,6.34389e-06
3548.13,6.09805e-06
3630.78,5.86174e-06
3715.35,5.63458e-06
3801.89,5.41622e-06
3890.45,5.20633e-06
3981.07,5.00458e-06
4073.8,4.81065e-06
4168.69,4.62424e-06
4265.8,4.44506e-06
4365.16,4.27283e-06
4466.84,4.10728e-06
4570.88,3.94816e-06
4677.35,3.79521e-06
4786.3,3.64819e-06
4897.79,3.50689e-06
5011.87,3.37106e-06
5128.61,3.24051e-06
5248.07,3.11502e-06
5370.32,2.9944e-06
5495.41,2.87847e-06
5623.41,2.76703e-06
5754.4,2.65992e-06
5888.44,2.55697e-06
6025.6,2.45801e-06
6165.95,2.3629e-06
6309.57,2.27147e-06
6456.54,2.1836e-06
6606.93,2.09913e-06
6760.83,2.01794e-06
6918.31,1.9399e-06
7079.46,1.86489e-06
7244.36,1.79278e-06
7413.1,1.72348e-06
7585.78,1.65686e-06
7762.47,1.59283e-06
7943.28,1.53128e-06
8128.31,1.47212e-06
8317.64,1.41525e-06
8511.38,1.36058e-06
8709.64,1.30804e-06
8912.51,1.25753e-06
9120.11,1.20898e-06
9332.54,1.16231e-06
9549.93,1.11744e-06
9772.37,1.07432e-06
10000,1.03287e-06
10232.9,9.9302e-07
10471.3,9.54716e-07
10715.2,9.17895e-07
10964.8,8.825e-07
11220.2,8.48475e-07
11481.5,8.15767e-07
11749,7.84324e-07
12022.6,7.54099e-07
12302.7,7.25042e-07
12589.3,6.9711e-07
12882.5,6.70258e-07
13182.6,6.44445e-07
13489.6,6.1963e-07
13803.8,5.95774e-07
14125.4,5.7284e-07
14454.4,5.50793e-07
14791.1,5.29598e-07
15135.6,5.09221e-07
15488.2,4.89632e-07
15848.9,4.70799e-07
16218.1,4.52694e-07
16595.9,4.35288e-07
16982.4,4.18554e-07
17378,4.02465e-07
17782.8,3.86998e-07
18197,3.72127e-07
18620.9,3.57831e-07
19054.6,3.44085e-07
19498.4,3.3087e-07
19952.6,3.18165e-07
