X--Trace 1::[-I(I1:3) | I(PR1)],Y--Trace 1::[-I(I1:3) | I(PR1)]
630.957,0.000110229
645.654,0.000105934
660.693,0.000101813
676.083,9.78568e-05
691.831,9.40589e-05
707.946,9.0412e-05
724.436,8.69097e-05
741.31,8.35456e-05
758.578,8.03138e-05
776.247,7.72086e-05
794.328,7.42248e-05
812.831,7.13573e-05
831.764,6.86012e-05
851.138,6.5952e-05
870.964,6.34052e-05
891.251,6.09569e-05
912.011,5.86029e-05
933.254,5.63396e-05
954.993,5.41634e-05
977.237,5.20709e-05
1000,5.00587e-05
1023.29,4.81237e-05
1047.13,4.62631e-05
1071.52,4.44738e-05
1096.48,4.27532e-05
1122.02,4.10987e-05
1148.15,3.95077e-05
1174.9,3.79777e-05
1202.26,3.65065e-05
1230.27,3.50919e-05
1258.93,3.37317e-05
1288.25,3.24238e-05
1318.26,3.11662e-05
1348.96,2.99571e-05
1380.38,2.87945e-05
1412.54,2.76768e-05
1445.44,2.66022e-05
1479.11,2.55691e-05
1513.56,2.45759e-05
1548.82,2.36211e-05
1584.89,2.27033e-05
1621.81,2.18209e-05
1659.59,2.09727e-05
1698.24,2.01574e-05
1737.8,1.93736e-05
1778.28,1.86203e-05
1819.7,1.78961e-05
1862.09,1.72001e-05
1905.46,1.65311e-05
1949.84,1.58881e-05
1995.26,1.527e-05
2041.74,1.4676e-05
2089.3,1.4105e-05
2137.96,1.35563e-05
2187.76,1.30289e-05
2238.72,1.2522e-05
2290.87,1.20348e-05
2344.23,1.15666e-05
2398.83,1.11166e-05
2454.71,1.06842e-05
2511.89,1.02685e-05
2570.4,9.8691e-06
2630.27,9.48522e-06
2691.53,9.11628e-06
2754.23,8.76172e-06
2818.38,8.42097e-06
2884.03,8.0935e-06
2951.21,7.77878e-06
3019.95,7.47633e-06
3090.3,7.18566e-06
3162.28,6.90632e-06
3235.94,6.63786e-06
3311.31,6.37986e-06
3388.44,6.13191e-06
3467.37,5.89363e-06
3548.13,5.66463e-06
3630.78,5.44455e-06
3715.35,5.23304e-06
3801.89,5.02978e-06
3890.45,4.83443e-06
3981.07,4.64669e-06
4073.8,4.46627e-06
4168.69,4.29287e-06
4265.8,4.12623e-06
4365.16,3.96608e-06
4466.84,3.81216e-06
4570.88,3.66424e-06
4677.35,3.52207e-06
4786.3,3.38544e-06
4897.79,3.25413e-06
5011.87,3.12793e-06
5128.61,3.00665e-06
5248.07,2.89008e-06
5370.32,2.77805e-06
5495.41,2.67037e-06
5623.41,2.56689e-06
5754.4,2.46743e-06
5888.44,2.37184e-06
6025.6,2.27996e-06
6165.95,2.19166e-06
6309.57,2.10679e-06
6456.54,2.02522e-06
6606.93,1.94682e-06
6760.83,1.87147e-06
6918.31,1.79905e-06
7079.46,1.72944e-06
7244.36,1.66253e-06
7413.1,1.59822e-06
7585.78,1.53641e-06
7762.47,1.477e-06
7943.28,1.4199e-06
8128.31,1.36502e-06
8317.64,1.31226e-06
8511.38,1.26155e-06
8709.64,1.21281e-06
8912.51,1.16596e-06
9120.11,1.12093e-06
9332.54,1.07764e-06
9549.93,1.03603e-06
9772.37,9.96036e-07
10000,9.57591e-07
10232.9,9.20637e-07
10471.3,8.85114e-07
10715.2,8.50968e-07
10964.8,8.18145e-07
11220.2,7.86593e-07
11481.5,7.56263e-07
11749,7.27108e-07
12022.6,6.99081e-07
12302.7,6.72139e-07
12589.3,6.4624e-07
12882.5,6.21343e-07
13182.6,5.97409e-07
13489.6,5.74401e-07
13803.8,5.52283e-07
14125.4,5.3102e-07
14454.4,5.10579e-07
14791.1,4.90928e-07
15135.6,4.72037e-07
15488.2,4.53876e-07
15848.9,4.36417e-07
16218.1,4.19631e-07
16595.9,4.03495e-07
16982.4,3.87981e-07
17378,3.73066e-07
17782.8,3.58727e-07
18197,3.44942e-07
18620.9,3.31688e-07
19054.6,3.18946e-07
19498.4,3.06696e-07
19952.6,2.94917e-07
