12" Driver B RE = 5.81 ohms VT = 1 ft^3
Vgen = 001.000 Vrms
Frequency	Magnitude	 Phase
01057.68359	028.19827	 58.74662
01084.87793	028.75825	 58.77006
01112.71875	029.29816	 58.92380
01141.41333	029.95803	 59.01355
01170.68335	030.75233	 59.40096
01200.61938	031.89067	 58.66438
01231.45874	031.31272	 57.43518
01263.14063	032.44161	 58.66842
01295.62158	033.30855	 57.46404
01328.79248	033.04795	 55.95488
01362.87842	032.30545	 57.26789
01397.80249	033.14019	 59.00716
01433.81714	033.99433	 59.10975
01470.49561	034.49524	 59.38915
01508.31372	035.09725	 59.83529
01547.13135	035.77288	 60.26419
01586.79224	036.50511	 60.64853
01627.61499	037.29887	 60.89486
01669.37451	038.11930	 61.09301
01712.02197	038.85950	 61.22404
01756.08521	039.63797	 61.37906
01801.03223	040.42765	 61.51249
01847.19067	041.22988	 61.61312
01894.74707	042.03111	 61.73611
01943.23291	042.85217	 61.83102
01993.27832	043.68816	 61.96208
02044.41650	044.53313	 62.06622
02096.15698	045.45716	 62.12801
02151.06494	046.33543	 62.21018
02205.93579	047.21814	 62.27069
02260.77563	048.13076	 62.35462
02320.61670	049.07454	 62.42467
02378.03491	049.97464	 62.45764
02440.35278	050.96302	 62.53384
02502.66675	051.94557	 62.54961
02568.05859	052.92312	 62.61201
02632.92114	053.94891	 62.64194
02700.25732	054.95863	 62.69750
02770.05078	056.02336	 62.75121
02839.90894	057.06041	 62.73691
02912.18970	058.11313	 62.77449
02987.00220	059.19981	 62.80565
03064.29272	060.29638	 62.82584
03141.60645	061.40541	 62.86727
03225.49487	062.59524	 62.88808
03307.79858	063.75532	 62.94488
03392.57959	064.94234	 62.93796
03479.89844	066.18343	 62.98167
03567.17627	067.37797	 63.00369
03659.44067	068.65529	 63.01399
03754.21313	069.94750	 63.01176
03849.92920	071.22230	 63.02633
03949.65332	072.56566	 63.04901
04049.43896	073.89041	 63.05319
04154.23218	075.28771	 63.06554
04261.39087	076.65337	 63.06882
04368.63013	078.07073	 63.06412
04482.49194	079.55417	 63.07830
04597.24805	080.99212	 63.05539
04716.92749	082.52360	 63.06836
04836.62939	083.99178	 63.05375
04961.27466	085.52931	 63.05855
05088.43896	087.11231	 63.06583
05219.70435	088.73144	 63.04670
05351.91772	090.33645	 63.03357
05489.01367	091.97141	 63.03367
05631.13696	093.67400	 63.02477
05777.48633	095.44861	 63.00663
05924.55957	097.15567	 62.98670
06076.77344	098.94683	 62.98808
06231.32813	100.68366	 62.97583
06390.93335	102.52877	 62.97364
06556.57422	104.33830	 62.94502
06723.58228	106.26795	 62.95549
06895.62939	108.18663	 62.90099
07074.32520	110.17099	 62.87722
07256.42432	112.19183	 62.86768
07440.84180	114.18192	 62.86365
07632.83594	116.26225	 62.84889
07828.02417	118.36749	 62.81351
08027.43335	120.49761	 62.75661
08234.49219	122.57973	 62.78958
08445.57764	124.79075	 62.79873
08662.46118	127.04902	 62.73567
08884.41260	129.39265	 62.71092
09112.47241	131.81815	 62.72251
09346.78809	134.11308	 62.69707
09586.18311	136.47258	 62.66926
09832.23828	139.03450	 62.63630
10084.05322	141.46301	 62.60307
10343.09399	144.00518	 62.55263
10607.36572	146.49404	 62.54717
10880.90259	149.26119	 62.52585
11160.09106	151.91654	 62.52384
11446.73291	154.65033	 62.52023
11739.67188	157.40536	 62.40911
12041.29565	160.15656	 62.41379
12349.73145	163.16773	 62.41460
12666.29077	165.96778	 62.36373
12991.34595	169.05938	 62.35750
13325.24951	172.12186	 62.33879
13668.64478	175.14753	 62.30686
14017.51709	178.20513	 62.29267
14377.84155	181.50187	 62.24564
14748.60913	184.76842	 62.23376
15124.91016	187.97710	 62.10953
15513.29102	191.38704	 62.11656
15912.05396	194.90373	 62.12218
16320.30786	198.11822	 62.11836
16740.26563	202.04328	 62.04044
17169.05322	205.57126	 62.01986
17609.67310	209.59405	 61.97980
18061.56030	213.26834	 61.97694
18522.70093	216.87202	 61.90707
19000.58716	221.00675	 61.87007
19488.16284	225.07209	 61.81482
19988.66797	228.83745	 61.84092
