X--Trace 1::[V(PR2)/I(PR2)],Y--Trace 1::[V(PR2)/I(PR2)]
1949.84,43.7168
1995.26,44.453
2041.74,45.2015
2089.3,45.9626
2137.96,46.7363
2187.76,47.5229
2238.72,48.3227
2290.87,49.1358
2344.23,49.9624
2398.83,50.8028
2454.71,51.6572
2511.89,52.5257
2570.4,53.4087
2630.27,54.3064
2691.53,55.2189
2754.23,56.1465
2818.38,57.0895
2884.03,58.0481
2951.21,59.0226
3019.95,60.0131
3090.3,61.0201
3162.28,62.0436
3235.94,63.084
3311.31,64.1416
3388.44,65.2166
3467.37,66.3093
3548.13,67.42
3630.78,68.549
3715.35,69.6965
3801.89,70.8628
3890.45,72.0483
3981.07,73.2533
4073.8,74.478
4168.69,75.7227
4265.8,76.9878
4365.16,78.2737
4466.84,79.5806
4570.88,80.9088
4677.35,82.2587
4786.3,83.6307
4897.79,85.0251
5011.87,86.4422
5128.61,87.8823
5248.07,89.346
5370.32,90.8335
5495.41,92.3452
5623.41,93.8814
5754.4,95.4427
5888.44,97.0293
6025.6,98.6416
6165.95,100.28
6309.57,101.945
6456.54,103.637
6606.93,105.357
6760.83,107.104
6918.31,108.88
7079.46,110.684
7244.36,112.518
7413.1,114.381
7585.78,116.274
7762.47,118.198
7943.28,120.153
8128.31,122.139
8317.64,124.157
8511.38,126.208
8709.64,128.292
8912.51,130.409
9120.11,132.561
9332.54,134.747
9549.93,136.968
9772.37,139.225
10000,141.518
10232.9,143.848
10471.3,146.215
10715.2,148.621
10964.8,151.064
11220.2,153.547
11481.5,156.07
11749,158.633
12022.6,161.237
12302.7,163.883
12589.3,166.571
12882.5,169.302
13182.6,172.076
13489.6,174.895
13803.8,177.759
14125.4,180.668
14454.4,183.624
14791.1,186.627
15135.6,189.678
15488.2,192.777
15848.9,195.926
16218.1,199.125
16595.9,202.374
16982.4,205.676
17378,209.029
17782.8,212.436
18197,215.897
18620.9,219.413
19054.6,222.985
19498.4,226.614
19952.6,230.3
