12" Driver B RE = 5.81 ohms VT = 1 ft^3
Vgen = 001.000 Vrms
Frequency	Magnitude	 Phase
01057.68701	029.42903	 58.00460
01084.87793	029.90166	 58.03925
01112.71875	030.39914	 58.26797
01141.41333	031.04563	 58.51132
01170.68750	031.77203	 58.57136
01200.61938	032.51245	 58.48748
01231.46313	033.28661	 58.12305
01263.14526	033.90685	 57.42830
01295.62158	034.22309	 56.59282
01328.80176	034.14004	 56.36577
01362.88330	034.15021	 56.79288
01397.80884	034.44799	 57.59731
01433.82227	034.99259	 58.34186
01470.49048	035.62440	 58.93231
01508.31372	036.35029	 59.39956
01547.13159	037.10523	 59.72395
01586.79517	037.85905	 60.02215
01627.61499	038.64953	 60.23917
01669.37451	039.42604	 60.42600
01712.02319	040.24406	 60.55137
01756.08521	041.02625	 60.65867
01801.03442	041.79628	 60.79126
01847.19067	042.60219	 60.92168
01894.74707	043.42825	 61.04727
01943.23975	044.27002	 61.16355
01993.28540	045.13219	 61.24963
02044.41919	045.99171	 61.34557
02096.16113	046.86630	 61.41731
02151.06860	047.79746	 61.45927
02205.92188	048.69601	 61.52333
02260.77954	049.59967	 61.57810
02320.60693	050.56596	 61.64257
02378.03027	051.49117	 61.69944
02440.34424	052.47701	 61.73602
02502.65674	053.46477	 61.77153
02568.06274	054.47053	 61.81868
02632.93066	055.48800	 61.88686
02700.25928	056.52927	 61.88620
02770.05762	057.60109	 61.91934
02839.89868	058.63199	 61.93342
02912.19507	059.67578	 61.94025
02987.00513	060.79022	 61.98197
03064.29272	061.88792	 61.99323
03141.61011	063.01330	 62.02199
03225.49805	064.23056	 62.06688
03307.78687	065.39352	 62.10075
03392.57080	066.60554	 62.11782
03479.89624	067.82122	 62.16697
03567.16821	069.04648	 62.16941
03659.43188	070.31541	 62.16403
03754.19971	071.62551	 62.16478
03849.93066	072.92702	 62.19019
03949.66406	074.27635	 62.19016
04049.43896	075.59211	 62.19939
04154.22168	076.99357	 62.18769
04261.38330	078.38460	 62.20156
04368.60840	079.76300	 62.20337
04482.48535	081.26093	 62.20082
04597.24976	082.74255	 62.18140
04716.91382	084.26461	 62.20284
04836.63306	085.71141	 62.17203
04961.24194	087.27706	 62.19163
05088.41016	088.88717	 62.16978
05219.70239	090.48842	 62.15813
05351.91772	092.08903	 62.14140
05489.01855	093.74293	 62.13024
05631.13696	095.43965	 62.11707
05777.50488	097.15535	 62.08664
05924.54224	098.92917	 62.08518
06076.76392	100.65975	 62.07813
06231.30103	102.50736	 62.06114
06390.91650	104.27324	 62.01727
06556.57031	106.20007	 62.06121
06723.54224	108.04421	 62.02904
06895.64111	109.94383	 61.99812
07074.29980	111.90828	 61.97220
07256.42627	113.89931	 61.95677
07440.86548	115.98626	 61.96137
07632.83594	118.03281	 61.94052
07828.03687	120.11225	 61.93445
08027.43384	122.14273	 61.90135
08234.47168	124.44124	 61.85426
08445.60815	126.64199	 61.84311
08662.45630	128.83601	 61.82718
08884.39917	131.11909	 61.79136
09112.45801	133.53293	 61.78503
09346.75708	135.84453	 61.75916
09586.16138	138.22291	 61.69821
09832.26123	140.63277	 61.68530
10084.03931	143.12633	 61.67764
10343.05005	145.68698	 61.63015
10607.32739	148.23872	 61.61365
10880.91284	150.82376	 61.61389
11160.05078	153.58999	 61.58491
11446.73950	156.21820	 61.53219
11739.64868	158.99953	 61.54928
12041.32593	161.86305	 61.48566
12349.74194	164.76069	 61.47697
12666.30347	167.49760	 61.40385
12991.29956	170.58342	 61.39744
13325.24951	173.51396	 61.37208
13668.67993	176.59462	 61.32691
14017.52661	179.71264	 61.34510
14377.84155	182.91827	 61.26955
14748.59204	186.16794	 61.21480
15124.94971	189.53067	 61.25557
15513.27612	192.58937	 61.18957
15912.05151	196.23794	 61.11403
16320.30713	200.01935	 61.08810
16740.28442	203.14323	 61.07825
17169.08203	206.99788	 61.09307
17609.67310	210.50378	 61.04323
18061.58887	214.42133	 60.99089
18522.63428	218.27795	 60.97869
19000.51514	222.25654	 60.90913
19488.18530	225.93628	 60.86202
19988.74023	230.08239	 60.87279
